kingdom	family	EN0.2A	EN0.2B	EN0.2C	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C
Metazoa	Phocoenidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Suidae	0	-0.268978514177806	0.277565192190263	-1.28057942585629	0	0.734323594685979	0	1.73984546028808	-0.469649209639957	-1.28057942585629	-0.268978514177806	-0.875114317748122	0.328858486577814	-1.56826149830807	2.9315481720222
Metazoa	Adrianichthyidae	0	0	0	0	0	0	0	0	0	1.34326868036151	0	0	0	-0.671634340180755	-0.671634340180755
Metazoa	Blenniidae	-0.866978388431263	0.231633900236847	0	-0.866978388431263	0	0	-0.173831207871318	-0.866978388431263	0	-0.866978388431263	0.231633900236847	-0.866978388431263	2.22406406492705	0.742459524002837	1.07893176062405
Metazoa	Gobiesocidae	-0.944074484946516	0.25989831937942	0	-0.656392412494735	-2.04268677361463	-1.34953959305468	0.154537803721594	-0.944074484946516	0.154537803721594	1.5682311390296	1.0018356641088	0.0367547680652098	1.5682311390296	0.596370556000632	0.596370556000632
Metazoa	Carangidae	-0.788163203608792	-2.17445756472868	0	0	0	-2.17445756472868	0	-0.788163203608792	-1.48131038416874	2.2075690699452	0.223437708069688	0.223437708069688	1.79583434882344	2.35814192842457	0.598131157511098
Metazoa	Echeneidae	0	0	0	0	0	0	-0.470275051432696	0	0	-0.470275051432696	0.22287212912725	0	0.782487917062672	-0.064809943324531	0
Metazoa	Canidae	0	0	0	0	0	0	0	0.883425985518711	0	0.12965418314233	1.09473507918592	-0.158027889309451	-1.94978735853751	0	0
Metazoa	Mustelidae	0	0	0.549306144334055	0	0	0	0	-0.549306144334055	0	0	0	0	0	0	0
Metazoa	Oplegnathidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Sinipercidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Serrasalmidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Phyllostomidae	0	0	0	0	0	-0.202732554054082	0.202732554054082	0	0	0	0	0	0	0	0
Metazoa	Pteropodidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Clupeidae	-1.1043879875653	-1.1043879875653	0	-1.1043879875653	-0.411240807005357	-1.1043879875653	-0.00577569889719265	-1.1043879875653	0	1.19819710542874	2.32959921691984	-1.1043879875653	1.29350728523307	1.53466934204996	0.687371481662753
Metazoa	Denticipitidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Coliidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Columbidae	0	0	0	0	-0.401324268108645	0	0	0	-1.49993655677676	0	0	0	0	1.9012608248854	0
Metazoa	Oikopleuridae	-1.46321997816721	-0.366760542860204	-1.22853043585594	-1.63144777188531	-1.15953756436899	0.0684307455131608	0.450852275790492	1.31660059559906	-0.237548811380198	-0.282086665811099	1.18638065333143	0.253769595996968	-0.124829077680361	1.19861737977987	2.01930960199835
Metazoa	Alligatoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Cyprinidae	0	0	0	-1.33749342059309	0	-1.33749342059309	-0.64434624003315	-0.64434624003315	-1.33749342059309	-1.33749342059309	0.45426604863496	-0.238881131924985	4.62093127243669	1.06040185220528	0.741948121086741
Metazoa	Fundulidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Nothobranchiidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metazoa	Poeciliidae	-0.549306144334055	0	0	0	0	0	0	0	0	0	0	0	0.549306144334055	0	0
Metazoa	Cionidae	0	0.214868199539468	0	0	0	0.214868199539468	0.214868199539468	0	-0.883744089128642	0.214868199539468	0	0.214868199539468	0	0	-0.190596908568697
