superkingdom	kingdom	phylum	class	order	family	genus	species	OP0.2A	OP0.2B	OP0.2C	OP1.2A	OP1.2B	OP1.2C	OP5.0A	OP5.0B	OP5.0C	OP8.0A	OP8.0B	OP8.0C	EN0.2A	EN0.2B	EN0.2C
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Methylophaga	Methylophaga nitratireducenticrescens	2	2	0	2	1	1	3	4	5	0	1	1	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Methylophaga	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Piscirickettsia	Piscirickettsia salmonis	0	0	0	3	0	0	0	0	0	0	0	0	0	3	2
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Thiomicrorhabdus	Thiomicrorhabdus aquaedulcis	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Thiomicrorhabdus	Thiomicrorhabdus sp. G1	0	1	2	0	0	6	3	0	0	0	0	0	0	0	6
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Thiomicrorhabdus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	Thiomicrospira	Thiomicrospira aerophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Piscirickettsiaceae	NA	NA	0	3	4	6	2	8	53	27	14	25	34	11	2	0	6
Bacteria	NA	Actinobacteria	Micrococcales	Actinobacteria	Intrasporangiaceae	NA	NA	0	1	0	0	2	2	0	22	2	24	25	2	0	3	1
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Thiotrichaceae	Beggiatoa	Beggiatoa leptomitoformis	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Thiotrichaceae	Leucothrix	Leucothrix mucor	0	2	1	3	0	0	0	6	9	0	0	2	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Thiotrichaceae	Thiomargarita	Thiomargarita sp. NAM092	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Thiotrichaceae	Thioploca	Thioploca ingrica	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria	NA	Proteobacteria	Thiotrichales	Gammaproteobacteria	Thiotrichaceae	Thiothrix	Thiothrix lacustris	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0
