	sample:OP0.2A	sample:OP0.2B	sample:OP0.2C	sample:OP1.2A	sample:OP1.2B	sample:OP1.2C	sample:OP5.0A	sample:OP5.0B	sample:OP5.0C	sample:OP8.0A	sample:OP8.0B	sample:OP8.0C	sample:EN0.2A	sample:EN0.2B	sample:EN0.2C	count	superkingdom_name	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	id
92	3	2	5	1	0	2	0	0	1	3	0	0	3	4	2	26	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote AD1000_54_F09	tax92
93	52	43	41	14	8	17	0	2	6	2	0	0	87	35	67	374	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_05_H05	tax93
94	0	2	0	0	0	0	0	0	0	0	1	0	2	1	0	6	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_12_C10	tax94
95	17	8	5	6	5	4	0	1	2	3	0	0	6	13	16	86	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_12_F11	tax95
96	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_13_C11	tax96
97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_16_C10	tax97
98	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_17_C07	tax98
99	42	63	49	23	29	19	2	1	9	2	3	3	78	45	74	442	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_201_H03	tax99
100	54	66	47	10	21	17	0	1	0	5	2	3	72	61	94	453	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_24_H11	tax100
101	73	76	74	18	22	26	2	2	3	3	2	7	93	71	91	563	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_25_G08	tax101
102	1	1	5	1	4	0	0	0	0	0	0	1	1	2	1	17	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_31_G08	tax102
103	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_37_D10	tax103
104	1	3	4	1	0	0	0	0	0	0	0	0	2	1	1	13	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_41_H02	tax104
105	74	83	79	24	30	26	2	6	3	3	5	4	112	78	112	641	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_42_E08	tax105
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_46_G10	tax106
107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_49_A08	tax107
108	76	90	80	25	34	24	5	4	4	7	1	6	136	51	133	676	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_51_A05	tax108
109	3	1	0	5	0	1	0	2	1	0	3	1	3	1	2	23	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_53_F06	tax109
110	25	15	3	28	9	2	11	8	6	9	4	5	32	10	8	175	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_56_F06	tax110
111	26	23	15	3	10	1	3	0	3	1	0	3	36	16	31	171	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_70_D10	tax111
112	1	0	3	0	0	0	0	0	0	0	0	0	1	4	1	10	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_72_F07	tax112
113	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_73_B11	tax113
114	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_78_D03	tax114
115	94	73	71	23	24	30	3	3	6	1	0	10	121	69	124	652	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_79_B12	tax115
116	34	59	54	24	12	11	0	1	4	1	1	2	71	48	72	394	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote KM3_84_A09	tax116
117	178	200	201	52	65	51	4	7	11	15	10	13	273	204	290	1574	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_10_G06	tax117
118	240	223	240	80	84	69	4	8	15	9	7	9	320	209	332	1849	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_10_G09	tax118
119	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured marine thaumarchaeote SAT1000_27_H05	tax119
120	6	3	3	5	2	3	0	0	0	0	0	0	14	3	14	53	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	uncultured thaumarchaeote	tax120
121	2888	2947	2752	840	1035	873	127	120	168	173	104	186	4374	2834	4102	23523	Archaea	NA	Thaumarchaeota	NA	NA	NA	NA	NA	tax121
122	0	0	0	1	0	0	2	0	2	0	0	2	0	0	0	7	Archaea	NA	NA	NA	NA	NA	NA	anaerobic archaeon MK-D1	tax122
123	3	4	2	7	4	2	3	2	3	3	1	1	5	4	3	47	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon	tax123
124	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S02-C115	tax124
125	1	3	3	3	0	2	0	0	0	0	0	0	4	3	3	22	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S04-C140	tax125
126	1	0	0	1	0	0	0	0	0	1	0	0	1	0	3	7	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S04-C163	tax126
127	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C16	tax127
128	0	0	5	0	0	1	0	0	0	1	0	2	1	1	3	14	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C37	tax128
129	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	5	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C82	tax129
130	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S09-C50	tax130
131	2	4	8	0	0	2	0	0	0	0	0	0	0	6	4	26	Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S11-C473	tax131
132	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	NA	NA	NA	NA	NA	uncultured DPANN archaeon	tax132
133	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Archaea	NA	NA	NA	NA	NA	NA	uncultured sediment archaeon	tax133
134	225	245	208	96	113	81	18	24	25	36	31	23	358	229	245	1957	Archaea	NA	NA	NA	NA	NA	NA	NA	tax134
135	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	Bacteria	NA	Acidobacteria	Acidobacteriales	Acidobacteriia	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum	tax135
136	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	3	Bacteria	NA	Acidobacteria	Acidobacteriales	Acidobacteriia	Acidobacteriaceae	Terriglobus	Terriglobus roseus	tax136
