superkingdom	kingdom	phylum	order	class	family	genus	species	06-mergeLCA//A0_2	06-mergeLCA//B0_2	06-mergeLCA//C0_2	06-mergeLCA//A1_2	06-mergeLCA//B1_2	06-mergeLCA//C1_2	06-mergeLCA//A5_0	06-mergeLCA//B5_0	06-mergeLCA//C5_0	06-mergeLCA//A8_0	06-mergeLCA//B8_0	06-mergeLCA//C8_0	06-mergeLCA//GP_1	06-mergeLCA//GP_2	06-mergeLCA//GP_3
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C16	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C37	0	0	5	0	0	1	0	0	0	1	0	2	1	1	3
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S08-C82	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S09-C50	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
Archaea	NA	NA	NA	NA	NA	NA	uncultured archaeon MedDCM-OCT-S11-C473	2	4	8	0	0	2	0	0	0	0	0	0	0	6	4
Archaea	NA	NA	NA	NA	NA	NA	uncultured DPANN archaeon	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Archaea	NA	NA	NA	NA	NA	NA	uncultured sediment archaeon	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Archaea	NA	NA	NA	NA	NA	NA	NA	225	245	208	96	113	81	18	24	25	36	31	23	358	229	245
Bacteria	NA	Acidobacteria	Acidobacteriales	Acidobacteriia	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Acidobacteria	Acidobacteriales	Acidobacteriia	Acidobacteriaceae	Terriglobus	Terriglobus roseus	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Bacteria	NA	Acidobacteria	Bryobacterales	Acidobacteriia	Solibacteraceae	Candidatus Solibacter	Candidatus Solibacter usitatus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria	NA	Acidobacteria	Holophagales	Holophagae	Holophagaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria	NA	Acidobacteria	NA	Vicinamibacteria	Vicinamibacteraceae	Luteitalea	Luteitalea pratensis	0	0	0	0	0	2	0	1	1	0	0	3	0	0	0
Bacteria	NA	Acidobacteria	NA	NA	NA	NA	Acidobacteria bacterium Mor1	0	1	1	0	0	0	2	2	1	1	4	0	0	0	0
Bacteria	NA	Acidobacteria	NA	NA	NA	NA	uncultured Acidobacteria bacterium	0	0	0	1	2	0	1	1	3	0	0	2	0	0	0
Bacteria	NA	Acidobacteria	NA	NA	NA	NA	uncultured Acidobacteria bacterium A12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	NA	Acidobacteria	NA	NA	NA	NA	uncultured Acidobacteria bacterium Rifle_16ft_4_minimus_38982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria	NA	Acidobacteria	NA	NA	NA	NA	NA	0	0	0	0	0	2	0	0	1	0	0	6	0	0	2
Bacteria	NA	Actinobacteria	Acidimicrobiales	Acidimicrobiia	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria	NA	Actinobacteria	Acidimicrobiales	Acidimicrobiia	Ilumatobacteraceae	Ilumatobacter	Ilumatobacter coccineus	74	81	77	50	112	90	86	85	119	96	143	239	156	131	143
Bacteria	NA	Actinobacteria	Acidimicrobiales	Acidimicrobiia	NA	NA	NA	2	2	0	0	0	0	0	0	0	0	0	0	3	0	2
