taxids	mrca
1702578;1702579	2623549
1705852;1705855	85254
170679;446372	662
171259;1239450	2830
171831;171833	67246
171955;368060;1089512;1157501;1548982;1548983;1548984;1549031;1549032	2631580
1729234;1827091	467749
1729235;1827091;1827092	467749
172968;1674929	2774
173066;173078	44596
173;44275;90062	173
173728;173729;173730;173731;174035	2633481
173747;173748	2633481
1737515;1737520	613
1740109;1814285;1814288	196894
1743173;1855598	2640945
1745482;1745671	1745481
174702;411021;411022;411023;411026;411033	196821
1747053;1747054	2635362
1748549;1748568;1748597	1748548
1749311;1749312	2633043
175245;246267	4751
175245;413698	4751
175247;1229259	4761
175278;440714	33208
1755261;1755262	2648775
1759591;1759592	2050566
1759621;1759639;1759643	2637345
1759633;1759634	2637345
176178;454130	5052
176275;655819	176275
1762961;1805477	2614128
176299;1176649	1176649
1765;1773;33894	1773
1766;144550;1214102	1766
176709;1209812	33926
1767;487521	1767
1768;557599	1768
1777598;1793135	36664
1777909;1777949	267147
1779244;1779246	2623933
178005;178007	88474
1783;222805;487521	1763
178356;1236119;1236127;1236128;1236129;1236135	237
1784;1789;28045	1763
1793;39694	1866885
1795590;1795623	1219
1795602;1795609;1795615	1219
1795611;1795621	1219
179795;2058882	3028
180228;1073397	2759
180441;1236112	237
1805478;2485926	1643824
1807286;1807289;1807290	2617910
180838;180839	2640676
1810375;1810381	2617964
181800;181801	3148
1818277;1818278	2086555
1818279;1818284;1818295	2086555
1818340;1818341	1818123
1818595;1818596;1818597;1818602;1818603;1818604	1962113
1818600;1818605	1962113
1822338;2558455	2647621
1827735;1827742;1827744;1827753;1827754;1827928;1827952;1828001	2593676
1829;1833	1827
183355;183379	50515
183512;1543310	2825
183512;341153	2696291
183512;882199	2825
1840277;1840283;1840297;1840299;1840301	2638319
184503;426038	130975
184528;457556	31314
185014;185015	2625285
185293;915438	185293
1854885;1854938;1854939	2646942
185983;186029	2857
186039;186040	186035
186163;1862977	4782
1862977;2125995	4782
186520;476181	23222
1875773;1875775	177942
188064;188070	2619321
1881268;1881269	2184034
1881380;1881385;1881386;1881388;1881393;1881394;1881395;1881396	196896
1881412;1881444	2175602
1881415;1881416	196895
1881452;1881453	196895
1881751;2324092	329961
1881752;2332555	7149
188584;211920	86795
188723;188727	2631580
1888;67257;67333	1883
1890622;2340005	41829
1892;1911	629295
1892;1911;1926	1883
1893377;1893378	2630112
189456;189457	189454
189518;267671;573825;996802;996803;996810;996811;996812;996813;996814;996815;996816;996817;996818;996819;996820;996821;996822;996823;996824;996825;996827;996828;996829;996832;996833;996834;996835;996836;996837;996838;996840;996841;996842;996843;996844;996845;996846;996847;996849;996850;996851;996852;996854;996855;996856;996857;996858;996859;996860;996863;1001586;1001588;1001594;1001596;1001597;1001598;1001602;1001603;1001986;1001987;1049795;1049804;1049806;1049819;1049820;1049821;1049904;1049906;1049907;1049908;1049909;1049910;1049911;1049912;1049930;1049934;1049937;1085541;1085544;1085545;1085546;1085547;1085548;1193017;1193018;1193019;1193044;1193060;1218577;1218578;1218579;1218582;1249484;1291310;1291315;1291316;1291317;1291318;1291319;1291320;1291321;1291324;1291325;1291326;1291327;1291328;1291329;1291330;1291331;1291332;1291333;1291334;1291335;1291336;1291337;1291338;1291339;1291340;1291342;1291343;1291344;1291345;1291346;1291347;1291348;1291351;1291352;1291353;1291358;1291362;1291363;1291364;1291365;1291366	173
189542;1656179	776
1898207;1981510	186802
190460;334140	31317
1904773;1904778	867790
190486;1308541	611301
191218;261594	1392
191468;291205	1224
1917383;1917384	110474
192045;228182;228183;320322;574490	4640
1921008;2492962	1921008
1925440;1925478;1925479;1925480	377522
193074;194334;330153	28000
193;2044885	191
193294;365321	10205
195071;1628815	3027
196600;216895	672
196600;216895;345073	662
197045;197047;197048;197049;197052;1089483;1089491;1425279;1445752;1445753;1445754;1445761;1445762;1445763;1445764;1445766;1445767;1445788;1445789;1445791;1549015;1549016	2631580
197229;272128	1892254
197797;197801	26867
198;1031746	198
198252;1115650;1118158	198252
198252;1118158	198252
198802;290739	34509
199683;435877	47420
201684;503042;588325;588326;1169130	201683
202675;453230	2
202950;1120924	202950
2030969;2031013	41212
203267;218496	2039
203449;324688	61964
203700;215759;228193	31380
203774;203775;203776	203773
203846;203848;203849	2628852
2043275;2043278	2685324
2048062;2048063	2569973
205097;1248566;1248619;1248635;1248642	51812
